Year;pop;ISO3166_alpha3;ISO3166_numeric;biodiesel_cons_kbd;biodiesel_cons_kboed;biodiesel_cons_ktoe;biodiesel_cons_pj;biodiesel_prod_kbd;biodiesel_prod_kboed;biodiesel_prod_ktoe;biodiesel_prod_pj;biofuels_cons_ej;biofuels_cons_kbd;biofuels_cons_kboed;biofuels_cons_ktoe;biofuels_cons_mtoe;biofuels_cons_pj;biofuels_prod_kbd;biofuels_prod_kboed;biofuels_prod_ktoe;biofuels_prod_pj;biogeo_ej;biogeo_mtoe;biogeo_twh;co2_mtco2;coalcons_ej;coalcons_mtoe;coalprod_ej;coalprod_mt;coalprod_mtoe;cobalt_kt;elect_twh;electbyfuel_coal;electbyfuel_gas;electbyfuel_oil;ethanol_cons_kbd;ethanol_cons_kboed;ethanol_cons_ktoe;ethanol_cons_pj;ethanol_prod_kbd;ethanol_prod_kboed;ethanol_prod_ktoe;ethanol_prod_pj;gascons_bcfd;gascons_bcm;gascons_ej;gascons_mtoe;gasprod_bcfd;gasprod_bcm;gasprod_ej;gasprod_mtoe;gasreserves_tcm;graphite_kt;hydro_ej;hydro_mtoe;hydro_twh;liqcons_kbd;lithium_kt;nuclear_ej;nuclear_mtoe;nuclear_twh;oilcons_ej;oilcons_kbd;oilcons_mt;oilcons_mtoe;oilprod_crudecond_kbd;oilprod_kbd;oilprod_mt;oilprod_ngl_kbd;oilreserves_bbl;primary_ej;primary_gj_pc;primary_mtoe;rareearths_kt;refcap_kbd;refthru_kbd;ren_power_ej;ren_power_mtoe;ren_power_twh;renewables_ej;renewables_mtoe;solar_ej;solar_mtoe;solar_twh;wind_ej;wind_mtoe;wind_twh
1965;12,55088;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;5,57;0,00;0,07;;;;;;;;;;;;;;;;;0,07;0,74;0,03;0,64;;;;;;;0,00;0,10;0,40;26,72;;0,00;0,00;0,00;0,06;26,72;1,29;1,32;;569,94;26,14;;;0,09;7,10;2,13;;54,22;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1966;12,902626;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;6,87;0,00;0,07;;;;;;;;;;;;;;;;;0,07;0,77;0,03;0,66;;;;;;;0,00;0,08;0,36;35,35;;0,00;0,00;0,00;0,07;35,35;1,69;1,74;;733,59;33,64;;;0,11;8,31;2,56;;54,22;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1967;13,27502;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;6,37;0,00;0,05;;;;;;;;;;;;;;;;;0,07;0,75;0,03;0,64;;;;;;;0,00;0,10;0,41;33,29;;0,00;0,00;0,00;0,07;33,29;1,58;1,63;;842,66;38,65;;;0,10;7,64;2,42;;54,22;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1968;13,663581;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;6,77;0,00;0,06;;;;;;;;;;;;;;;;;0,08;0,79;0,03;0,68;;;;;;;0,01;0,13;0,56;35,37;;0,00;0,00;0,00;0,07;35,37;1,68;1,73;;922,50;42,42;;;0,11;7,97;2,60;;54,22;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1969;14,061724;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;7,59;0,00;0,07;;;;;;;;;;;;;;;;;0,10;1,04;0,04;0,89;;;;;;;0,00;0,09;0,36;37,71;;0,00;0,00;0,00;0,08;37,71;1,78;1,83;;969,33;44,44;;;0,12;8,57;2,88;;54,22;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1970;14,464992;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;8,26;0,00;0,08;;;;;;;;;;;;;;;;;0,09;0,97;0,04;0,84;0,24;2,44;0,09;2,10;;;0,01;0,14;0,58;43,01;;0,00;0,00;0,00;0,09;43,01;2,03;2,09;;1053,93;48,31;;;0,13;9,12;3,15;;57,74;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1971;14,872253;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;8,93;0,00;0,02;;;;;;;;;;;;;;;;;0,11;1,10;0,04;0,95;0,25;2,57;0,09;2,21;;;0,00;0,08;0,33;48,88;;0,00;0,00;0,00;0,10;48,88;2,29;2,36;;802,59;36,80;;;0,14;9,60;3,41;;57,74;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1972;15,285992;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;9,99;0,00;0,02;;;;;;;;;;;;;;;;;0,12;1,28;0,05;1,10;0,31;3,26;0,12;2,80;;;0,00;0,12;0,50;53,54;;0,00;0,00;0,00;0,11;53,54;2,51;2,59;;1081,05;49,73;;;0,16;10,49;3,83;;116,28;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1973;15,709831;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;11,61;0,00;0,02;;;;;;;;;;;;;;;;;0,17;1,79;0,06;1,54;0,42;4,32;0,16;3,72;;;0,01;0,18;0,75;58,85;;0,00;0,00;0,00;0,12;58,85;2,74;2,83;;1128,74;51,70;;;0,19;12,17;4,57;;116,28;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1974;16,149018;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;12,97;0,00;0,02;;;;;;;;;;;;;;;;;0,20;2,07;0,07;1,78;0,48;5,00;0,18;4,30;;;0,00;0,12;0,50;65,64;;0,00;0,00;0,00;0,13;65,64;3,04;3,14;;1045,98;47,83;;;0,21;13,11;5,06;;116,28;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1975;16,607706;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;30,62;0,00;0,02;;;;;;;;;;;;;;;;;0,28;2,85;0,10;2,45;0,60;6,15;0,22;5,29;;;0,00;0,08;0,33;72,88;;0,00;0,00;0,00;0,15;72,88;3,38;3,49;;1025,50;46,80;;;0,25;15,24;6,05;;116,28;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1976;17,085799;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;38,84;0,00;0,05;;;;;;;;;;;;;;;;;0,33;3,37;0,12;2,90;0,75;7,75;0,28;6,66;;;0,00;0,09;0,39;84,68;;0,00;0,00;0,00;0,17;84,68;3,88;4,02;;1144,41;52,23;;;0,30;17,28;7,05;;116,28;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
